id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
293,The DPSIR framework in support of green infrastructure planning: A case study in Southern Italy,"Spano, Marinella; Gentile, Francesco; Davies, Clive; Lafortezza, Raffaele",LAND USE POLICY,2017,,,,,,,,,,,,,,,,,,,,
294,Ecosystem services and connectivity in spatial conservation prioritization,"Kukkala, Aija S.; Moilanen, Atte",LANDSCAPE ECOLOGY,2017,,,,,,,,,,,,,,,,,,,,
295,Urban green infrastructure and local flooding: The impact of landscape patterns on peak runoff in four Texas MSAs,"Kim, Hyun Woo; Park, Yunmi",APPLIED GEOGRAPHY,2016,,,,,,,,,,,,,,,,,,,,
296,Insurance Value of Green Infrastructure in and Around Cities,"Green, Tom L.; Kronenberg, Jakub; Andersson, Erik; Elmqvist, Thomas; Gomez-Baggethun, Erik",ECOSYSTEMS,2016,,,,,,,,,,,,,,,,,,,,
297,"Green Infrastructure, Grey Epistemologies, and the Urban Political Ecology of Pittsburgh's Water Governance","Finewood, Michael H.",ANTIPODE,2016,,,,,,,,,,,,,,,,,,,,
298,"The role of urban green infrastructure in mitigating land surface temperature in Bobo-Dioulasso, Burkina Faso","Di Leo, Nestor; Escobedo, Francisco J.; Dubbeling, Marielle",ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
299,The extent of shifts in vegetation phenology between rural and urban areas within a human-dominated region,"Dallimer, Martin; Tang, Zhiyao; Gaston, Kevin J.; Davies, Zoe G.",ECOLOGY AND EVOLUTION,2016,,,,,,,,,,,,,,,,,,,,
300,Evaluating the role of coastal habitats and sea-level rise in hurricane risk mitigation: An ecological economic assessment method and application to a business decision,"Reddy, Sheila M. W.; Guannel, Gregory; Griffin, Robert; Faries, Joe; Boucher, Timothy; Thompson, Michael; Brenner, Jorge; Bernhardt, Joey; Verutes, Gregory; Wood, Spencer A.; Silver, Jessica A.; Toft, Jodie; Rogers, Anthony; Maas, Alexander; Guerry, Anne; Molnar, Jennifer; DiMuro, Johnathan L.",INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
301,Knowledge brokering and boundary work for ecosystem service indicators. An urban case study in Finland,"Saarela, Sanna-Riikka; Rinne, Janne",ECOLOGICAL INDICATORS,2016,,,,,,,,,,,,,,,,,,,,
302,Using social network analysis to identify key stakeholders in agricultural biodiversity governance and related land-use decisions at regional and local level,"Hauck, Jennifer; Schmidt, Jenny; Werner, Anja",ECOLOGY AND SOCIETY,2016,,,,,,,,,,,,,,,,,,,,
303,Connectivity and management enables fast recovery of plant diversity in new linear grassland elements,"Jakobsson, Simon; Fukamachi, Katsue; Cousins, Sara A. O.",JOURNAL OF VEGETATION SCIENCE,2016,,,,,,,,,,,,,,,,,,,,
304,A comparative study on the quality of China's eco-city: Suzhou vs Kitakyushu,"Li, Yan; Qiu, Limin",HABITAT INTERNATIONAL,2015,,,,,,,,,,,,,,,,,,,,
305,Maximizing oyster-reef growth supports green infrastructure with accelerating sea-level rise,"Ridge, Justin T.; Rodriguez, Antonio B.; Fodrie, F. Joel; Lindquist, Niels L.; Brodeur, Michelle C.; Coleman, Sara E.; Grabowski, Jonathan H.; Theuerkauf, Ethan J.",SCIENTIFIC REPORTS,2015,,,,,,,,,,,,,,,,,,,,
306,MSPA-Based Urban Green Infrastructure Planning and Management Approach for Urban Sustainability: Case Study of Longgang in China,"Chang, Qing; Liu, Xiaowen; Wu, Jiansheng; He, Pan",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2015,,,,,,,,,,,,,,,,,,,,
307,Evaluation of planning policy for protecting green infrastructure from loss and degradation due to residential encroachment,"McWilliam, Wendy; Brown, Robert; Eagles, Paul; Seasons, Mark",LAND USE POLICY,2015,,,,,,,,,,,,,,,,,,,,
308,"Conservation of fragmented grasslands as part of the urban green infrastructure: how important are species diversity, functional diversity and landscape functionality?","van der Walt, L.; Cilliers, S. S.; Du Toit, M. J.; Kellner, K.",URBAN ECOSYSTEMS,2015,,,,,,,,,,,,,,,,,,,,
309,Kiwifruit in the World-2014,"Ferguson, A. R.",VIII INTERNATIONAL SYMPOSIUM ON KIWIFRUIT,2015,,,,,,,,,,,,,,,,,,,,
310,Understanding how built urban form influences biodiversity,"Andersson, Erik; Colding, Johan",URBAN FORESTRY & URBAN GREENING,2014,,,,,,,,,,,,,,,,,,,,
311,Borders without barriers - Structural functionality and green infrastructure in the Austrian-Hungarian transboundary region of Lake Neusiedl,"Kuttner, Michael; Hainz-Renetzeder, Christa; Hermann, Anna; Wrbka, Thomas",ECOLOGICAL INDICATORS,2013,,,,,,,,,,,,,,,,,,,,
312,An approach to the evaluation and management of natural carbon sinks: From plant species to urban green systems,"Munoz-Valles, S.; Cambrolle, J.; Figueroa-Luque, E.; Luque, T.; Niell, F. X.; Figueroa, M. E.",URBAN FORESTRY & URBAN GREENING,2013,,,,,,,,,,,,,,,,,,,,
313,SUSTAINABILITY AND GREEN DEVELOPMENT IN URBAN POLICIES AND STRATEGIES,"Csete, M.; Horvath, L.",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2012,,,,,,,,,,,,,,,,,,,,
314,Addressing the information gaps associated with valuing green infrastructure in west Michigan: INtegrated Valuation of Ecosystem Services Tool (INVEST),"Isely, Elaine Sterrett; Isely, Paul; Seedang, Saichon; Mulder, Kenneth; Thompson, Kurt; Steinman, Alan D.",JOURNAL OF GREAT LAKES RESEARCH,2010,,,,,,,,,,,,,,,,,,,,
315,"Field validation of a conservation network on the Eastern Shore of Maryland, USA, using breeding birds as bio-indicators","Weber, Theodore C.; Blank, Peter J.; Sloan, Anne",ENVIRONMENTAL MANAGEMENT,2008,,,,,,,,,,,,,,,,,,,,
316,LAND USE CHANGE AND ITS SOCIO-ECONOMIC DRIVING FORCES UNDER STRESS OF PROJECT IN OLD RESERVOIR AREA-Case Study of Linshui Reservoir Area of Dahonghe Reservoir in Sichuan Province,Shao Jing-an; Huang Xue-qin; Qu Ming; Wei Chao-fu; Xie De-ti,CHINESE GEOGRAPHICAL SCIENCE,2005,,,,,,,,,,,,,,,,,,,,
317,Regreening the metropolis: Pathways to more ecological cities,"Platt, RH",URBAN BIOSPHERE AND SOCIETY: PARTNERSHIP OF CITIES,2004,,,,,,,,,,,,,,,,,,,,
318,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"Albert, Cecile H.; Rayfield, Bronwyn; Dumitru, Maria; Gonzalez, Andrew",CONSERVATION BIOLOGY,2017,,,,,,,,,,,,,,,,,,,,
319,Increasing biodiversity in urban green spaces through simple vegetation interventions,"Threlfall, Caragh G.; Mata, Luis; Mackie, Jessica A.; Hahs, Amy K.; Stork, Nigel E.; Williams, Nicholas S. G.; Livesley, Stephen J.",JOURNAL OF APPLIED ECOLOGY,2017,,,,,,,,,,,,,,,,,,,,
320,The land morphology approach to flood risk mapping: An application to Portugal,"Cunha, N. S.; Magalhaes, M. R.; Domingos, T.; Abreu, M. M.; Kuepfer, C.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,,,,,,,,,,,,,,,,,,,,
321,Building 'blue': An eco-engineering framework for foreshore developments,"Mayer-Pinto, M.; Johnston, E. L.; Bugnot, A. B.; Glasby, T. M.; Airoldi, L.; Mitchell, A.; Dafforn, K. A.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,,,,,,,,,,,,,,,,,,,,
322,Quantification of fine dust deposition on different plant species in a vertical greening system,"Perini, Katia; Ottele, Marc; Giulini, Saverio; Magliocco, Adriano; Roccotiello, Enrica",ECOLOGICAL ENGINEERING,2017,,,,,,,,,,,,,,,,,,,,
323,Using the Concepts of Green Infrastructure and Ecosystem Services to Specify Leitbilder for Compact and Green Cities-The Example of the Landscape Plan of Dresden (Germany),"Artmann, Martina; Bastian, Olaf; Grunewald, Karsten",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
324,Preliminary study of the influence of the spatial arrangement of urban parks on local temperature reduction,"Lin, Bau-Show; Lin, Ciao-Ting",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
325,Insights and opportunities from mapping ecosystem services of urban green spaces and potentials in planning,"Pulighe, Giuseppe; Fava, Francesco; Lupia, Flavio",ECOSYSTEM SERVICES,2016,,,,,,,,,,,,,,,,,,,,
326,Ecosystem services in urban land use planning: Integration challenges in complex urban settings-Case of Stockholm,"Anna, Kaczorowska; Jaan-Henrik, Kain; Jakub, Kronenberg; Dagmar, Haase",ECOSYSTEM SERVICES,2016,,,,,,,,,,,,,,,,,,,,
327,Design with Nature: Ian McHarg's ecological wisdom as actionable and practical knowledge,"Yang, Bo; Li, Shujuan",LANDSCAPE AND URBAN PLANNING,2016,,,,,,,,,,,,,,,,,,,,
328,Plant species richness enhances nitrogen retention in green roof plots,"Johnson, Catherine; Schweinhart, Shelbye; Buffam, Ishi",ECOLOGICAL APPLICATIONS,2016,,,,,,,,,,,,,,,,,,,,
329,Mediterranean habitat loss under future climate conditions: Assessing impacts on the Natura 2000 protected area network,"Barredo, Jose I.; Caudullo, Giovanni; Dosio, Alessandro",APPLIED GEOGRAPHY,2016,,,,,,,,,,,,,,,,,,,,
330,Considering the ways biocultural diversity helps enforce the urban green infrastructure in times of urban transformation,"Vierikko, Kati; Elands, Birgit; Niemela, Jari; Andersson, Erik; Buijs, Arjen; Fischer, Leonie Katharina; Haase, Dagmar; Kabisch, Nadja; Kowarik, Ingo; Luz, Ana Catarina; Stahl, Anton Olafsson; Szaraz, Luca; Van der Jagt, Alexander; van den Bosch, Cecil Konijnendijk",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
331,Green roofs: Experimental and analytical study of its potential for urban microclimate regulation in Mediterranean-continental climates,"Saiz Alcazar, Susana; Olivieri, Francesca; Neila, Javier",URBAN CLIMATE,2016,,,,,,,,,,,,,,,,,,,,
332,Wasting collaboration potential: A study in urban green space governance in a post-transition country,"Kronenberg, Jakub; Pietrzyk-Kaszynska, Agata; Zbieg, Anita; Zak, Blazej",ENVIRONMENTAL SCIENCE & POLICY,2016,,,,,,,,,,,,,,,,,,,,
333,Urban trees reduce nutrient leaching to groundwater,"Nidzgorski, Daniel A.; Hobbie, Sarah E.",ECOLOGICAL APPLICATIONS,2016,,,,,,,,,,,,,,,,,,,,
334,Is It Good to Be Green? Assessing the Ecological Results of County Green Infrastructure Planning,"Lynch, Amy J.",JOURNAL OF PLANNING EDUCATION AND RESEARCH,2016,,,,,,,,,,,,,,,,,,,,
335,"A basic assessment of residential plant diversity and its ecosystem services and disservices in Beijing, China","Wang, Hua-Feng; Qureshi, Salman; Knapp, Sonja; Friedman, Cynthia Ross; Hubacek, Klaus",APPLIED GEOGRAPHY,2015,,,,,,,,,,,,,,,,,,,,
336,"Urban vegetation cover extraction from hyperspectral imagery and geographic information system spatial analysis techniques: case of Athens, Greece","Petropoulos, George P.; Kalivas, Dionissios P.; Georgopoulou, Iro A.; Srivastava, Prashant K.",JOURNAL OF APPLIED REMOTE SENSING,2015,,,,,,,,,,,,,,,,,,,,
337,"Application, validation and comparison in different geographical contexts of an integrated model for the design of ecological networks","Fichera, Carmelo Riccardo; Laudari, Luigi; Modica, Giuseppe",JOURNAL OF AGRICULTURAL ENGINEERING,2015,,,,,,,,,,,,,,,,,,,,
338,Thresholds of landscape change: a new tool to manage green infrastructure and social-economic development,"Liu, Wenping; Holst, Jirko; Yu, Zhenrong",LANDSCAPE ECOLOGY,2014,,,,,,,,,,,,,,,,,,,,
339,"Assembling the pieces: a framework for the integration of multi-functional ecological main structure in the emerging urban region of Bogota, Colombia","Andrade, German I.; Remolina, Fernando; Wiesner, Diana",URBAN ECOSYSTEMS,2013,,,,,,,,,,,,,,,,,,,,
340,Carbon sequestration and noise attenuation provided by hedges in Rome: the contribution of hedge traits in decreasing pollution levels,"Gratani, Loretta; Varone, Laura",ATMOSPHERIC POLLUTION RESEARCH,2013,,,,,,,,,,,,,,,,,,,,
341,"The effect of light availability on leaf area index, biomass production and plant species composition of park grasslands in Warsaw","Dabrowski, P.; Pawluskiewicz, B.; Kalaji, H. M.; Baczewska, A. H.",PLANT SOIL AND ENVIRONMENT,2013,,,,,,,,,,,,,,,,,,,,
342,CREATING LAND USE SCENARIOS FOR CITY GREENBELTS USING A SPATIAL MULTI-CRITERIA ANALYSIS SHELL: TWO CASE STUDIES,"Hill, Michael J.; FitzSimons, John; Pearson, Craig J.",PHYSICAL GEOGRAPHY,2009,,,,,,,,,,,,,,,,,,,,
343,BIODIVERSITY AND URBAN DESIGN: SEEKING AN INTEGRATED SOLUTION,"Connery, Kevin",JOURNAL OF GREEN BUILDING,2009,,,,,,,,,,,,,,,,,,,,
344,Niches in the urban forest: Organizations and their role in acquiring metropolitan open space,"Ruliffson, JA; Gobster, PH; Haight, RG; Homans, FR",JOURNAL OF FORESTRY,2002,,,,,,,,,,,,,,,,,,,,
345,A conceptual approach for evaluating the multiple benefits of urban flood management practices,"Hoang, L.; Fenner, R. A.; Skenderian, M.",JOURNAL OF FLOOD RISK MANAGEMENT,2018,,,,,,,,,,,,,,,,,,,,
346,Infrastructures as Socio-Eco-Technical Systems: Five Considerations for Interdisciplinary Dialogue,"Grabowski, Z. J.; Matsler, A. M.; Thiel, C.; McPhillips, L.; Hum, R.; Bradshaw, A.; Miller, T.; Redman, C.",JOURNAL OF INFRASTRUCTURE SYSTEMS,2017,,,,,,,,,,,,,,,,,,,,
347,An urban ecology critique on the Smart City model,"Colding, Johan; Barthel, Stephan",JOURNAL OF CLEANER PRODUCTION,2017,,,,,,,,,,,,,,,,,,,,
348,"Shifting to healthier cities with improved urban ecological infrastructure: From the perspectives of planning, implementation, governance and engineering","Li, Feng; Liu, Hongxiao; Huisingh, Donald; Wang, Yutao; Wang, Rusong",JOURNAL OF CLEANER PRODUCTION,2017,,,,,,,,,,,,,,,,,,,,
349,Elevated phosphorus: dynamics during four years of green roof development,"Mitchell, Mark E.; Matter, Stephen F.; Durtsche, Richard D.; Buffam, Ishi",URBAN ECOSYSTEMS,2017,,,,,,,,,,,,,,,,,,,,
350,Role of green space in urban planning: Outlook towards smart cities,"Anguluri, Ramesh; Narayanan, Priya",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
351,Eco-engineering and management strategies for marine infrastructure to reduce establishment and dispersal of non-indigenous species,"Dafforn, Katherine A.",MANAGEMENT OF BIOLOGICAL INVASIONS,2017,,,,,,,,,,,,,,,,,,,,
352,Assessing allergenicity in urban parks: A nature-based solution to reduce the impact on public health,"Carinanos, Paloma; Casares-Porcel, Manuel; Diaz de la Guardia, Consuelo; Jesus Aira, Maria; Belmonte, Jordina; Boi, Marzia; Elvira-Rendueles, Belen; De Linares, Concepcion; Fernandez-Rodriguez, Santiago; Maria Maya-Manzano, Jose; Perez-Badia, Rosa; Rodriguez-de la Cruz, David; Javier Rodriguez-Rajo, Francisco; Rojo-Ubeda, Jesus; Romero-Zarco, Carlos; Sanchez-Reyes, Estefania; Sanchez-Sanchez, Jose; Rojo-Ubeda, Jesus; Romero-Zarco, Carlos; Sanchez-Reyes, Estefania; Sanchez-Sanchez, Jose; Tormo-Molina, Rafael; Vega Maray, Ana Ma",ENVIRONMENTAL RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
353,Semi-natural habitats mitigate the effects of temperature rise on wild bees,"Papanikolaou, Alexandra D.; Kuehn, Ingolf; Frenzel, Mark; Schweiger, Oliver",JOURNAL OF APPLIED ECOLOGY,2017,,,,,,,,,,,,,,,,,,,,
354,Surface energy balance of an extensive green roof as quantified by full year eddy-covariance measurements,"Heusinger, Jannik; Weber, Stephan",SCIENCE OF THE TOTAL ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
355,Combining the Conservation of Biodiversity with the Provision of Ecosystem Services in Urban Green Infrastructure Planning: Critical Features Arising from a Case Study in the Metropolitan Area of Rome,"Capotorti, Giulia; Del Vico, Eva; Anzellotti, Ilaria; Celesti-Grapow, Laura",SUSTAINABILITY,2017,,,,,,,,,,,,,,,,,,,,
356,Do vegetated rooftops attract more mosquitoes? Monitoring disease vector abundance on urban green roofs,"Wong, Gwendolyn K. L.; Jim, C. Y.",SCIENCE OF THE TOTAL ENVIRONMENT,2016,,,,,,,,,,,,,,,,,,,,
357,Integrating different understandings of landscape stewardship into the design of agri-environmental schemes,"Raymond, Christopher M.; Reed, Mark; Bieling, Claudia; Robinson, Guy M.; Plieninger, Tobias",ENVIRONMENTAL CONSERVATION,2016,,,,,,,,,,,,,,,,,,,,
358,Phylogenetic ecology and the greening of cities,"MacIvor, James S.; Cadotte, Marc W.; Livingstone, Stuart W.; Lundholm, Jeremy T.; Yasui, Simone-Louise E.",JOURNAL OF APPLIED ECOLOGY,2016,,,,,,,,,,,,,,,,,,,,
359,Trends in normalized difference vegetation index (NDVI) associated with urban development in northern West Siberia,"Esau, Igor; Miles, Victoria V.; Davy, Richard; Miles, Martin W.; Kurchatova, Anna",ATMOSPHERIC CHEMISTRY AND PHYSICS,2016,,,,,,,,,,,,,,,,,,,,
360,"Urban Green Infrastructure Impacts on Climate Regulation Services in Sydney, Australia","Lin, Brenda B.; Meyers, Jacqui; Beaty, R. Matthew; Barnett, Guy B.",SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
361,"Constructing hybrid infrastructure: Exploring the potential ecological, social, and economic benefits of integrating municipal infrastructure into constructed environments","Mangone, Giancarlo",CITIES,2016,,,,,,,,,,,,,,,,,,,,
362,Knowledge Co-production at the Research-Practice Interface: Embedded Case Studies from Urban Forestry,"Campbell, Lindsay K.; Svendsen, Erika S.; Roman, Lara A.",ENVIRONMENTAL MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
363,The role of forest certification for biodiversity conservation: Lithuania as a case study,"Elbakidze, Marine; Razauskaite, Rita; Manton, Michael; Angelstam, Per; Mozgeris, Gintautas; Brumelis, Guntis; Brazaitis, Gediminas; Vogt, Peter",EUROPEAN JOURNAL OF FOREST RESEARCH,2016,,,,,,,,,,,,,,,,,,,,
364,"Effects of forest type and urbanization on species composition and diversity of urban forest in Changchun, Northeast China","Zhang, Dan; Zheng, Haifeng; He, Xingyuan; Ren, Zhibin; Zhai, Chang; Yu, Xingyang; Mao, Zhixia; Wang, Peijiang",URBAN ECOSYSTEMS,2016,,,,,,,,,,,,,,,,,,,,
365,A toolbox for garden governance,"Dewaelheyns, Valerie; Kerselaers, Eva; Rogge, Elke",LAND USE POLICY,2016,,,,,,,,,,,,,,,,,,,,
366,"Evaluating the Benefits of Green Infrastructure for Coastal Areas: Location, Location, Location","Ruckelshaus, Mary H.; Guannel, Gregory; Arkema, Katherine; Verutes, Gregory; Griffin, Robert; Guerry, Anne; Silver, Jess; Faries, Joe; Brenner, Jorge; Rosenthal, Amy",COASTAL MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
367,Developing a sustainability indicator set for measuring green infrastructure performance,"Pakzad, Parisa; Osmond, Paul",URBAN PLANNING AND ARCHITECTURAL DESIGN FOR SUSTAINABLE DEVELOPMENT (UPADSD),2016,,,,,,,,,,,,,,,,,,,,
368,"Quantifying the local-scale ecosystem services provided by urban treed streetscapes in Bolzano, Italy","Russo, Alessio; Escobedo, Francisco J.; Zerbe, Stefan",AIMS ENVIRONMENTAL SCIENCE,2016,,,,,,,,,,,,,,,,,,,,
369,A multifunctional green infrastructure design to protect and improve native biodiversity in Rio de Janeiro,"Herzog, Cecilia Polacow",LANDSCAPE AND ECOLOGICAL ENGINEERING,2016,,,,,,,,,,,,,,,,,,,,
370,Modelling spatial distributions of alpine vegetation: A graph theory approach to delineate ecologically-consistent species assemblages,"Mikolajczak, A.; Marechal, D.; Sanz, T.; Iseninann, M.; Thierion, V.; Luque, S.",ECOLOGICAL INFORMATICS,2015,,,,,,,,,,,,,,,,,,,,
371,"Attitudes of Citizens towards Urban Parks and Green Spaces for Urban Sustainability: The Case of Gyeongsan City, Republic of Korea","Lee, Young-Chang; Kim, Keun-Ho",SUSTAINABILITY,2015,,,,,,,,,,,,,,,,,,,,
372,Do bank loans and local amenities explain Chinese urban house prices?,"Huang, Daisy J.; Leung, Charles K.; Qu, Baozhi",CHINA ECONOMIC REVIEW,2015,,,,,,,,,,,,,,,,,,,,
373,Valuing the Benefits of Creek Rehabilitation: Building a Business Case for Public Investments in Urban Green Infrastructure,"Mekala, Gayathri Devi; Jones, Roger N.; MacDonald, Darla Hatton",ENVIRONMENTAL MANAGEMENT,2015,,,,,,,,,,,,,,,,,,,,
374,Is green infrastructure an effective climate adaptation strategy for conserving biodiversity? A case study with the great crested newt,"Van Teeffelen, Astrid J. A.; Vos, Claire C.; Jochem, Rene; Baveco, Johannes M.; Meeuwsen, Henk; Hilbers, Jelle P.",LANDSCAPE ECOLOGY,2015,,,,,,,,,,,,,,,,,,,,
375,"Neighborhood change and the role of environmental stewardship: a case study of green infrastructure for stormwater in the City of Portland, Oregon, USA","Shandas, Vivek",ECOLOGY AND SOCIETY,2015,,,,,,,,,,,,,,,,,,,,
376,Simulating the effect of flow path roughness to examine how green infrastructure restores urban runoff timing and magnitude,"Yang, Yang; Endreny, Theodore A.; Nowak, David J.",URBAN FORESTRY & URBAN GREENING,2015,,,,,,,,,,,,,,,,,,,,
