id,Title,Authors,Source.Title,Publication.Year,Volume,Issue,Beginning.Page,Ending.Page,DOI,Total.Citations
106,Green reconstruction of the tsunami-affected areas in India using the integrated coastal zone management concept,"Sonak, Sangeeta; Pangam, Prajwala; Giriyan, Asha",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2008,89,1,14,23,10.1016/j.jenvman.2007.01.052,20
107,Infrastructure networks and red-green patterns in city regions,"Schrijnen, PM",LANDSCAPE AND URBAN PLANNING,2000,48,04-Mar,191,204,10.1016/S0169-2046(00)00042-6,20
108,"Ecosystem services provided by urban gardens in Barcelona, Spain: Insights for policy and planning","Camps-Calvet, Marta; Langemeyer, Johannes; Calvet-Mir, Laura; Gomez-Baggethun, Erik",ENVIRONMENTAL SCIENCE & POLICY,2016,62,,14,23,10.1016/j.envsci.2016.01.007,19
109,The role of urban green infrastructure in offsetting carbon emissions in 35 major Chinese cities: A nationwide estimate,"Chen, Wendy Y.",CITIES,2015,44,,112,120,10.1016/j.cities.2015.01.005,19
110,Integrating community gardens into public parks: An innovative approach for providing ecosystem services in urban areas,"Middle, Isaac; Dzidic, Peta; Buckley, Amma; Bennett, Dawn; Tye, Marian; Jones, Roy",URBAN FORESTRY & URBAN GREENING,2014,13,4,638,645,10.1016/j.ufug.2014.09.001,19
111,"A comprehensive sustainability appraisal of water governance in Phoenix, AZ","Larson, Kelli L.; Wiek, Arnim; Keeler, Lauren Withycombe",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2013,116,,58,71,10.1016/j.jenvman.2012.11.016,19
112,Fading from the forest: Bird community shifts related to urban park site-specific and landscape traits,"MacGregor-Fors, Ian; Ortega-Alvarez, Ruben",URBAN FORESTRY & URBAN GREENING,2011,10,3,239,246,10.1016/j.ufug.2011.03.004,19
113,Maryland's Green Infrastructure - Using landscape assessment tools to identify a regional conservation strategy,"Weber, T; Wolf, J",ENVIRONMENTAL MONITORING AND ASSESSMENT,2000,63,1,265,277,10.1023/A:1006416523955,19
114,Vertical greenery systems for energy savings in buildings: A comparative study between green walls and green facades,"Coma, Julia; Perez, Gabriel; de Gracia, Alvaro; Bures, Silvia; Urrestarazu, Miguel; Cabeza, Luisa F.",BUILDING AND ENVIRONMENT,2017,111,,228,237,10.1016/j.buildenv.2016.11.014,18
115,The value of urban ecosystem services in New York City: A spatially explicit multicriteria analysis of landscape scale valuation scenarios,"Kremer, Peleg; Hamstead, Zoe A.; McPhearson, Timon",ENVIRONMENTAL SCIENCE & POLICY,2016,62,,57,68,10.1016/j.envsci.2016.04.012,18
116,Adaptive governance to promote ecosystem services in urban green spaces,"Green, Olivia Odom; Garmestani, Ahjond S.; Albro, Sandra; Ban, Natalie C.; Berland, Adam; Burkman, Caitlin E.; Gardiner, Mary M.; Gunderson, Lance; Hopton, Matthew E.; Schoon, Michael L.; Shuster, William D.",URBAN ECOSYSTEMS,2016,19,1,77,93,10.1007/s11252-015-0476-2,18
117,Soil bioretention protects juvenile salmon and their prey from the toxic impacts of urban stormwater runoff,"McIntyre, J. K.; Davis, J. W.; Hinman, C.; Macneale, K. H.; Anulacion, B. F.; Scholz, N. L.; Stark, J. D.",CHEMOSPHERE,2015,132,,213,219,10.1016/j.chemosphere.2014.12.052,18
118,A Financial and Environmental Analysis of Constructed Wetlands for Industrial Wastewater Treatment,"DiMuro, Johnathan L.; Guertin, France M.; Helling, Rich K.; Perkins, Jessica L.; Romer, Scanlon",JOURNAL OF INDUSTRIAL ECOLOGY,2014,18,5,631,640,10.1111/jiec.12129,18
119,"Differential community and the perception of urban green spaces and their contents in the megacity of Karachi, Pakistan","Qureshi, Salman; Breuste, Juergen H.; Jim, C. Y.",URBAN ECOSYSTEMS,2013,16,4,853,870,10.1007/s11252-012-0285-9,18
120,The ecological imperative for environmental design and planning,"Steiner, Frederick; Simmons, Mark; Gallagher, Mark; Ranganathan, Janet; Robertson, Colin",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2013,11,7,355,361,10.1890/130052,18
121,Molecular identification of green algae from the rafts based infrastructure of Porphyra yezoensis,"Shen, Qi; Li, Hongye; Li, Yan; Wang, Zongling; Liu, Jiesheng; Yang, Weidong",MARINE POLLUTION BULLETIN,2012,64,10,2077,2082,10.1016/j.marpolbul.2012.07.021,18
122,Do railway edges provide functional connectivity for plant communities in an urban context?,"Penone, Caterina; Machon, Nathalie; Julliard, Romain; Le Viol, Isabelle",BIOLOGICAL CONSERVATION,2012,148,1,126,133,10.1016/j.biocon.2012.01.041,18
123,"Integrated Urban Land-Use Planning Based on Improving Ecosystem Service: Panyu Case, in a Typical Developed Area of China","Yu, Deyong; Jiang, Yuan; Kang, Muyi; Tian, Yuhong; Duan, Jin",JOURNAL OF URBAN PLANNING AND DEVELOPMENT-ASCE,2011,137,4,448,458,10.1061/(ASCE)UP.1943-5444.0000074,18
124,Two-dimensional gap analysis: A tool for efficient conservation planning and biodiversity policy implementation,"Angelstam, P; Mikusinski, G; Ronnback, BI; Ostman, A; Lazdinis, M; Roberge, JM; Arnberg, W; Olsson, J",AMBIO,2003,32,8,527,534,10.1639/0044-7447(2003)032[0527:TGAATF]2.0.CO;2,18
125,Regulating Ecosystem Services of forests in ten Italian Metropolitan Cities: Air quality improvement by PM10 and O-3 removal,"Manes, F.; Marando, F.; Capotorti, G.; Blasi, C.; Salvatori, E.; Fusaro, L.; Ciancarella, L.; Mircea, M.; Marchetti, M.; Chirici, G.; Munafo, M.",ECOLOGICAL INDICATORS,2016,67,,425,440,10.1016/j.ecolind.2016.03.009,17
126,Understanding spatial patterns in the production of multiple urban ecosystem services,"Holt, Alison R.; Mears, Meghann; Maltby, Lorraine; Warren, Philip",ECOSYSTEM SERVICES,2015,16,,33,46,10.1016/j.ecoser.2015.08.007,17
127,Contrasting values of cultural ecosystem services in urban areas: The case of park Montjuic in Barcelona,"Langemeyer, Johannes; Baro, Francesc; Roebeling, Peter; Gomez-Baggethun, Erik",ECOSYSTEM SERVICES,2015,12,,178,186,10.1016/j.ecoser.2014.11.016,17
128,Zebrafish and clean water technology: Assessing soil bioretention as a protective treatment for toxic urban runoff,"McIntyre, J. K.; Davis, J. W.; Incardona, J. P.; Stark, J. D.; Anulacion, B. F.; Scholz, N. L.",SCIENCE OF THE TOTAL ENVIRONMENT,2014,500,,173,180,10.1016/j.scitotenv.2014.08.066,17
129,The potential of school green areas to improve urban green connectivity and multifunctionality,"Ioja, Cristian Loan; Gradinaru, Simona Raluca; Onose, Diana Andreea; Vanau, Gabriel Ovidiu; Tudor, Alina Constantina",URBAN FORESTRY & URBAN GREENING,2014,13,4,704,713,10.1016/j.ufug.2014.07.002,17
130,Using forest history and spatial patterns to identify potential high conservation value forests in Romania,"Patru-Stupariu, Ileana; Angelstam, Per; Elbakidze, Marine; Huzui, Alina; Andersson, Kjell",BIODIVERSITY AND CONSERVATION,2013,22,9,2023,2039,10.1007/s10531-013-0523-3,17
131,Key insights for the future of urban ecosystem services research,"Kremer, Peleg; Hamstead, Zoe; Haase, Dagmar; McPhearson, Timon; Frantzeskaki, Niki; Andersson, Erik; Kabisch, Nadja; Larondelle, Neele; Rall, Emily L.; Voigt, Annette; Baro, Francesc; Bertram, Christine; Gomez-Baggethun, Erik; Hansen, Rieke; Kaczorowska, Anna; Kain, Jaan-Henrik; Kronenberg, Jakub; Langemeyer, Johannes; Pauleit, Stephan; Rehdanz, Katrin; Schewenius, Maria; van Ham, Chantal; Wurster, Daniel; Elmqvist, Thomas",ECOLOGY AND SOCIETY,2016,21,2,,,10.5751/ES-08445-210229,16
132,Framing ecosystem services: Affecting behaviour of actors in collaborative landscape planning?,"Opdam, Paul; Coninx, Ingrid; Dewulf, Art; Steingrover, Eveliene; Vos, Claire; van der Wal, Merel",LAND USE POLICY,2015,46,,223,231,10.1016/j.landusepol.2015.02.008,16
133,Producing nature for public: Land-based urbanization and provision of public green spaces in China,"Chen, Wendy Y.; Hu, Fox Zhi Yong",APPLIED GEOGRAPHY,2015,58,,32,40,10.1016/j.apgeog.2015.01.007,16
134,ASSESSMENT OF THE GREEN INFRASTRUCTURE OF BUCHAREST USING CORINE AND URBAN ATLAS DATA,"Petrisor, Alexandru-Ionut",URBANISM ARCHITECTURE CONSTRUCTIONS,2015,6,2,19,24,,16
135,Urban and agricultural soils: conflicts and trade-offs in the optimization of ecosystem services,"Setala, H.; Bardgett, R. D.; Birkhofer, K.; Brady, M.; Byrne, L.; de Ruiter, P. C.; de Vries, F. T.; Gardi, C.; Hedlund, K.; Hemerik, L.; Hotes, S.; Liiri, M.; Mortimer, S. R.; Pavao-Zuckerman, M.; Pouyat, R.; Tsiafouli, M.; van der Putten, W. H.",URBAN ECOSYSTEMS,2014,17,1,239,253,10.1007/s11252-013-0311-6,16
136,Urban Grassland Restoration: A Neglected Opportunity for Biodiversity Conservation,"Klaus, Valentin H.",RESTORATION ECOLOGY,2013,21,6,665,669,10.1111/rec.12051,16
137,Water-sensitive urban design: opportunities for the UK,"Ashley, Richard; Lundy, Lian; Ward, Sarah; Shaffer, Paul; Walker, Louise; Morgan, Celeste; Saul, Adrian; Wong, Tony; Moore, Sarah",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,2013,166,2,65,76,10.1680/muen.12.00046,16
138,Spatial planning for multifunctional green infrastructure: Growing resilience in Detroit,"Meerow, Sara; Newell, Joshua P.",LANDSCAPE AND URBAN PLANNING,2017,159,,62,75,10.1016/j.landurbplan.2016.10.005,15
139,Renaturing cities using a regionally-focused biodiversity-led multifunctional benefits approach to urban green infrastructure,"Connop, Stuart; Vandergert, Paula; Eisenberg, Bernd; Collier, Marcus J.; Nash, Caroline; Clough, Jack; Newport, Darryl",ENVIRONMENTAL SCIENCE & POLICY,2016,62,,99,111,10.1016/j.envsci.2016.01.013,15
140,The impact of greenspace size on the extent of local nocturnal air temperature cooling in London,"Monteiro, Madalena Vaz; Doick, Kieron J.; Handley, Phillip; Peace, Andrew",URBAN FORESTRY & URBAN GREENING,2016,16,,160,169,10.1016/j.ufug.2016.02.008,15
141,Historical influences on the current provision of multiple ecosystem services,"Dallimer, Martin; Davies, Zoe G.; Diaz-Porras, Daniel F.; Irvine, Katherine N.; Maltby, Lorraine; Warren, Philip H.; Armsworth, Paul R.; Gaston, Kevin J.",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2015,31,,307,317,10.1016/j.gloenvcha.2015.01.015,15
142,Understanding and addressing business needs and sustainability challenges: lessons from Devens eco-industrial park,"Veleva, Vesela; Todorova, Svetlana; Lowitt, Peter; Angus, Neil; Neely, Dona",JOURNAL OF CLEANER PRODUCTION,2015,87,,375,384,10.1016/j.jclepro.2014.09.014,15
143,How can residents' experiences inform planning of urban green infrastructure? Case Finland,"Faehnle, Maija; Backlund, Pia; Tyrvainen, Liisa; Niemela, Jari; Yli-Pelkonen, Vesa",LANDSCAPE AND URBAN PLANNING,2014,130,,171,183,10.1016/j.landurbplan.2014.07.012,15
144,Urban morphological determinants of temperature regulating ecosystem services in two African cities,"Cavan, Gina; Lindley, Sarah; Jalayer, Fatemeh; Yeshitela, Kumelachew; Pauleit, Stephan; Renner, Florian; Gill, Susannah; Capuano, Paolo; Nebebe, Alemu; Woldegerima, Tekle; Kibassa, Deusdedit; Shemdoe, Riziki",ECOLOGICAL INDICATORS,2014,42,,43,57,10.1016/j.ecolind.2014.01.025,15
145,Delhi revisited,"Ahmad, Sohail; Balaban, Osman; Doll, Christopher N. H.; Dreyfus, Magali",CITIES,2013,31,,641,653,10.1016/j.cities.2012.12.006,15
146,Sequestering zinc from recycled crumb rubber in extensive green roof media,"Solano, Lorelly; Ristvey, Andrew G.; Lea-Cox, John D.; Cohan, Steven M.",ECOLOGICAL ENGINEERING,2012,47,,284,290,10.1016/j.ecoleng.2012.07.002,15
147,Predicting the continuum between corridors and barriers to animal movements using Step Selection Functions and Randomized Shortest Paths,"Panzacchi, Manuela; Van Moorter, Bram; Strand, Olav; Saerens, Marco; Ki, Ilkka Kivima; St Clair, Colleen C.; Herfindal, Ivar; Boitani, Luigi",JOURNAL OF ANIMAL ECOLOGY,2016,85,1,32,42,10.1111/1365-2656.12386,14
148,"Bottom-up thinking Identifying socio-cultural values of ecosystem services in local blue-green infrastructure planning in Helsinki, Finland","Kati, Vierikko; Jari, Niemela",LAND USE POLICY,2016,50,,537,547,10.1016/j.landusepol.2015.09.031,14
149,"iSAW: Integrating Structure, Actors, and Water to study socio-hydro-ecological systems","Hale, Rebecca L.; Armstrong, Andrea; Baker, Michelle A.; Bedingfield, Sean; Betts, David; Buahin, Caleb; Buchert, Martin; Crowl, Todd; Dupont, R. Ryan; Ehleringer, James R.; Endter-Wada, Joanna; Flint, Courtney; Grant, Jacqualine; Hinners, Sarah; Horsburgh, Jeffery S.; Jackson-Smith, Douglas; Jones, Amber S.; Licon, Carlos; Null, Sarah E.; Odame, Augustina; Pataki, Diane E.; Rosenberg, David; Runburg, Madlyn; Stoker, Philip; Strong, Courtenay",EARTHS FUTURE,2015,3,3,110,132,10.1002/2014EF000295,14
150,"Assessing urban vacant land ecosystem services: Urban vacant land as green infrastructure in the City of Roanoke, Virginia","Kim, Gunwoo; Miller, Patrick A.; Nowak, David J.",URBAN FORESTRY & URBAN GREENING,2015,14,3,519,526,10.1016/j.ufug.2015.05.003,14
151,Perceptions of recreational trail impacts on an urban forest walk: A controlled field experiment,"Verlic, Andrej; Arnberger, Arne; Japelj, Anze; Simoncic, Primoz; Pirnat, Janez",URBAN FORESTRY & URBAN GREENING,2015,14,1,89,98,10.1016/j.ufug.2014.12.004,14
152,Green infrastructure and planning policy: a critical assessment,"Lennon, Mick",LOCAL ENVIRONMENT,2015,20,8,957,980,10.1080/13549839.2014.880411,14
153,Impact evaluation of green-grey infrastructure interaction on built-space integrity: An emerging perspective to urban ecosystem service,"Tiwary, Abhishek; Kumar, Prashant",SCIENCE OF THE TOTAL ENVIRONMENT,2014,487,,350,360,10.1016/j.scitotenv.2014.03.032,14
154,"Comparing street tree assemblages and associated stormwater benefits among communities in metropolitan Cincinnati, Ohio, USA","Berland, Adam; Hopton, Matthew E.",URBAN FORESTRY & URBAN GREENING,2014,13,4,734,741,10.1016/j.ufug.2014.06.004,14
155,Mainstreaming urban ecosystem services: A national survey of municipal foresters,"Young, Robert F.",URBAN ECOSYSTEMS,2013,16,4,703,722,10.1007/s11252-013-0287-2,14
156,The multi-use in wind farm projects: more conflicts or a win-win opportunity?,"Lacroix, Denis; Pioch, Sylvain",AQUATIC LIVING RESOURCES,2011,24,2,129,135,10.1051/alr/2011135,14
157,Utilising green and bluespace to mitigate urban heat island intensity,"Gunawardena, K. R.; Wells, M. J.; Kershaw, T.",SCIENCE OF THE TOTAL ENVIRONMENT,2017,584,,1040,1055,10.1016/jscitotenv.2017.01.158,13
158,Greening Chinese chemical industrial park by implementing industrial ecology strategies: A case study,"Yune, Jeremy H.; Tian, Jinping; Liu, Wei; Chen, Lujun; Descamps-Large, Cathy",RESOURCES CONSERVATION AND RECYCLING,2016,112,,54,64,10.1016/j.resconrec.2016.05.002,13
159,Environmental drivers of seasonal variation in green roof runoff water quality,"Buffam, Ishi; Mitchell, Mark E.; Durtsche, Richard D.",ECOLOGICAL ENGINEERING,2016,91,,506,514,10.1016/j.ecoleng.2016.02.044,13
160,"Optimal selection and placement of green infrastructure to reduce impacts of land use change and climate change on hydrology and water quality: An application to the Trail Creek Watershed, Indiana","Liu, Yaoze; Theller, Lawrence O.; Pijanowski, Bryan C.; Engel, Bernard A.",SCIENCE OF THE TOTAL ENVIRONMENT,2016,553,,149,163,10.1016/j.scitotenv.2015.02.116,13
161,Evaluating green infrastructure in urban environments using a multi-taxa and functional diversity approach,"Pinho, Pedro; Correia, Otilia; Lecoq, Miguel; Munzi, Silvana; Vasconcelos, Sasha; Goncalves, Paula; Rebelo, Rui; Antunes, Cristina; Silva, Patricia; Freitas, Catarina; Lopes, Nuno; Santos-Reis, Margarida; Branquinho, Cristina",ENVIRONMENTAL RESEARCH,2016,147,,601,610,10.1016/j.envres.2015.12.025,13
162,"Socio-spatial differentiation in the Sustainable City: A mixed-methods assessment of residential gardens in metropolitan Portland, Oregon, USA","McClintock, Nathan; Mahmoudi, Dillon; Simpson, Michael; Santos, Jacinto Pereira",LANDSCAPE AND URBAN PLANNING,2016,148,,1,16,10.1016/j.landurbplan.2015.12.008,13
163,"Potential roles of past, present, and future urbanization characteristics in producing varied stream responses","Parr, Thomas B.; Smucker, Nathan J.; Bentsen, Catherine N.; Neale, Martin W.",FRESHWATER SCIENCE,2016,35,1,436,443,10.1086/685030,13
164,System interactions of stormwater management using sustainable urban drainage systems and green infrastructure,"Hoang, L.; Fenner, R. A.",URBAN WATER JOURNAL,2016,13,7,739,758,10.1080/1573062X.2015.1036083,13
165,"Surface Water Storage Capacity of Twenty Tree Species in Davis, California","Xiao, Qingfu; McPherson, E. Gregory",JOURNAL OF ENVIRONMENTAL QUALITY,2016,45,1,188,198,10.2134/jeq2015.02.0092,13
166,Blue is the new green - Ecological enhancement of concrete based coastal and marine infrastructure,"Ido, Sella; Shimrit, Perkol-Finkel",ECOLOGICAL ENGINEERING,2015,84,,260,272,10.1016/j.ecoleng.2015.09.016,13
167,Brownfields As an Element of Green Infrastructure for Implementing Ecosystem Services into Urban Areas,"Mathey, Juliane; Roessler, Stefanie; Banse, Juliane; Lehmann, Iris; Braeuer, Anne",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2015,141,3,,,10.1061/(ASCE)UP.1943-5444.0000275,13
168,Ecosystem services in pen-urban landscapes: The effects of agricultural landscape change on ecosystem services in Taiwan's western coastal plain,"Lee, Ying-Chieh; Ahern, Jack; Yeh, Chia-Tsung",LANDSCAPE AND URBAN PLANNING,2015,139,,137,148,10.1016/j.landurbplan.2015.02.023,13
169,Setting Priorities for Urban Forest Planning. A Comprehensive Response to Ecological and Social Needs for the Metropolitan Area of Rome (Italy),"Capotorti, Giulia; Mollo, Barbara; Zavattero, Laura; Anzellotti, Ilaria; Celesti-Grapow, Laura",SUSTAINABILITY,2015,7,4,3958,3976,10.3390/su7043958,13
170,"Mapping and quantification of planted tree and shrub shelterbelts in Saskatchewan, Canada","Amichev, Beyhan Y.; Bentham, Murray J.; Cerkowniak, Darrel; Kort, John; Kulshreshtha, Suren; Laroque, Colin P.; Piwowar, Joseph M.; Van Rees, Ken C. J.",AGROFORESTRY SYSTEMS,2015,89,1,49,65,10.1007/s10457-014-9741-2,13
171,Exploring Green Streets and rain gardens as instances of small scale nature and environmental learning tools,"Church, Sarah P.",LANDSCAPE AND URBAN PLANNING,2015,134,,229,240,10.1016/j.landurbplan.2014.10.021,13
172,Biodiversity in my (back)yard: towards a framework for citizen engagement in exploring biodiversity and ecosystem services in residential gardens,"Beumer, Carijn; Martens, Pim",SUSTAINABILITY SCIENCE,2015,10,1,87,100,10.1007/s11625-014-0270-8,13
173,Developing resilient green roofs in a dry climate,"Razzaghmanesh, M.; Beecham, S.; Brien, C. J.",SCIENCE OF THE TOTAL ENVIRONMENT,2014,490,,579,589,10.1016/j.scitotenv.2014.05.040,13
