Sites,Site name,Green space type,City,Size (m2),Latitude,Longitude,city,Habitats,method,Season,L.ISAWZUM,L.MICHIGANENSIS,L.ASTERIS,L.SAGAX,L.LAEVISSIMUM,L.LEUCOCOMUM,L.LINEATULUM,L.CRESSONII,L.TEGULAREA,L.IMITATUM,L.EPHIALTUM,L.PILOSUM,L.VERSATUM,L.HITCHENSI,L.TAYLOREA,L.VERSANS,L.SUBVERSANS,L.SMILACINAE,L.NIGROVIRIDE,L.ABANCI,L.PLANATUM,L.DREISBACHI,L.VIRIDATUM,L.OBLONGUM,L.TRIGEMINUM,L.ZEPHYRUM,L.TENAX,L.COERULUM,L.HETEROGNATUM,L.PARADMIRANTUM,L.PERPUNCTATUM,L.CEPHALOTES,L.BIRKMANNI,L.MACOUPINENSIS,L.FOXII,L.INCONDIDUM,L.COMAGENENSE,L.ATHABACENSE,L.CORIACEUM,L.OENOTHARAE,L.CINCTIPES,L.QUEBECENSIS,L.ZONULUM,L.LEUCOZONIUM,H.RUBICUNDUS,H.CONFUSUS,H.LIGATUS,A.AURATA,A.PURA,A.METALLICA,A.VIRESCENS,A.TEXANA,APIS.MELLIFERA,B.IMPATIENS,B.TERRICOLA,B.GRISEOCOLLIS,B.VAGANS,B.RUFOCINCTUS,B.TERNARIUS,B.BIMACULATUS,B.FERVIDUS,B.CITRINUS,B.PERPLEXUS,B.BOREALIS,M.DESPONSA,M.TRINODIS,M.DRURIELLA,M.SUBILLATA,M.ILLATA,P.PRUINOSA,A.TERMINALIS,C.CALCARATA,C.MIKMAQUI,C.DUPLA,X.VIRGINIANA,M.INERMIS,M.FRIGIDA,M.ROTUNDATA,M.PUGNATA,M.CAMPANULAE,M.CENTUNCULARIS,M.RELATIVA,M.LATIMANUS,M.GEMULA,M.TEXANA,M.BREVIS,M.MENDICA,M.LAPPONICA,M.MELANOPHAE,A.MANICATUM,A.OBLONGATUM,A.FLORENTINUM,C.PORTERAE,C.OCTODENTATA,H.CARINATA,H.PRODUCTA,H.PILOSIFRONS,H.SPOLIATA,H.LEAVITTI,H.ANTHOCOPOIDES,O.ALBIVENTRIS,O.ATRIVENTRIS,O.LIGNARIA,O.CAERULESCENS,O.TERSULA,O.PUMILA,O.TAURUS,O.CONJUNCTA,O.SIMILLIMA,O.BUCEPHALA,C.RAPUNCULI,C.PHILADELPHI,C.CAMPANULARUM,H.MESILLAE,H.HYALINATUS,H.AFFINIS,H.MODESTUS,H.ANNULATUS,H.PUNCTATUS,H.COMMUNIS,H.LEPTOCEPHALUS,H.BASALIS,H.NELUMBONIS,C.SIMULANS,C.AMERICANA,C.ANDRENOIDES,P.PARVUS,P.RUDBECKIAE,P.ANDRENOIDES,P.OCTOMACULATA,M.NUDA,A.HIRTICINCTA,A.HIPPOTES,A.CRESSONII,A.NIVALIS,A.COMMODA,A.NIGRAE,A.CEANOTHI,A.CARLINI,A.CRATAGEI,A.WHEELERI,A.RUFOSIGNATA,A.MISERABILIS,A.MILWAUKIENSIS,A.VICINA,A.FRAGILIS,A.PLATYPARIA,A.BISALICIS,A.FRIGIDA*,A.PERPLEXA*,A.ZIZIEA,A.MANDIBULARIS*,A.GERANII,A.MORISONELLA,A.ERYTHROGASTER,A.DUNNINGI,A.PERSIMULATA,A.RUGOSA,A.ALLEGHANIENSIS,A.FORBESI,A.SIGMUNDI,A.NASSONI,A.SPIREANA,A.ROBERTSONI,A.WILKELLA,A.IMITATRIX,A.INTEGRA,A.ALGIDA,A.CLARKELLA,A.CHROMOTRICHA,A.ERIGENIAE*,A.WSCRIPTA,A.BREVIPALPIS,A.NUBECULA,A.DISTANS,A.ASTERIS,A.ERYTHRONII,A.SIMPLEX,A.REGULARIS,N.BETHUNEI,N.CRESSONII,N.MACULATA,N.DENTICULATA,N.VICINA,N.LUTHEOLOIDES,N.PARVA,N.PYGMAEA,S.RANUNCULI,S.DICHROUS,S.CLEMATIDIS,S.MANDIBULARIS,S.SOLONIS,S.CAROLINUS,S.CRESSONI,S.CONFERTUS,T.PECTORALIS,T.REGIMENATUS,T.OBLITERATUS,E.SCUTELARIS,H.CALLIOPSIDIS
CSC,Saint-Charles,Cemetery,Quebec,117697,46.8087,-71.2725,QuÇbec,cemetery,netting,2013,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,21,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,Saint-Patrick,Cemetery,Quebec,52611,46.7845,-71.2408,QuÇbec,cemetery,netting,2013,,,,,6,1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,2,,,,,,,,4,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD,Duberger,Community garden,Quebec,1856,46.8115,-71.2918,QuÇbec,community garden,netting,2013,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,,,2,,1,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLM,Le Marmottier,Community garden,Quebec,2845,46.7935,-71.2419,QuÇbec,community garden,netting,2013,,,,,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13,,,,,,,,6,12,,,,5,1,,1,3,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,5,,,1,,1,,,,,,,,,,,,,,,,,,,,,,5,,,1,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLR,Louis-Riel,Community garden,Quebec,3907,46.765,-71.3047,QuÇbec,community garden,netting,2013,,,,4,2,3,,7,,2,,1,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,7,,2,,,,1,,14,10,,1,,4,,1,,,1,,,2,,,,,,1,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
JM,Marchand,Community garden,Quebec,1510,46.8372,71.241248,QuÇbec,community garden,netting,2013,,,,1,2,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JML,Mont-Lilas,Community garden,Quebec,8316,46.8612,-71.1966,QuÇbec,community garden,netting,2013,,,,1,4,,1,,3,8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,49,,1,3,3,1,7,1,1,1,,,,,,2,,,1,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
JPS,Parc des Sables,Community garden,Quebec,1545,46.8214,-71.2221,QuÇbec,community garden,netting,2013,,,,2,4,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPSF,Pointe Sainte-Foy,Community garden,Quebec,9046,46.766,-71.3299,QuÇbec,community garden,netting,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,2,12,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
JSD,Sapiniäre Dorion,Community garden,Quebec,2921,46.8445,-71.2403,QuÇbec,community garden,netting,2013,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,,,2,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,UniversitÇ Laval,Community garden,Quebec,7131,46.7778,-71.2829,QuÇbec,community garden,netting,2013,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,58,,,1,2,,2,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVN,Versant Nord,Community garden,Quebec,3593,46.7803,-71.3206,QuÇbec,community garden,netting,2013,,,,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,1,,,,,,1,17,,,,5,,,1,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC,Bois-de-Coulonge,Nature park,Quebec,143779,46.7897,-71.2382,QuÇbec,park,netting,2013,,,,1,9,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,1,,,,5,38,,,4,1,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCB,Cartier-BrÇboeuf,Nature park,Quebec,28503,46.825,-71.2403,QuÇbec,park,netting,2013,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,5,,2,,7,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PDC,Domaine Cataraqui,Nature park,Quebec,38076,46.775,-71.253,QuÇbec,park,netting,2013,,,,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,27,24,,1,1,3,,1,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPASF,Base de Plein air Sainte-Foy,Nature park,Quebec,52313,46.7911,-71.3283,QuÇbec,park,netting,2013,,,,2,2,2,5,2,,3,1,2,,,,6,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,9,,,,,,5,16,,,1,2,2,1,,2,,,4,,8,,2,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PPJC,Plage Jacques-Cartier,Nature park,Quebec,22584,46.7506,-71.3138,QuÇbec,park,netting,2013,,,,1,7,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CCR,Cap-Rouge,Cemetery,Quebec,6770,46.7504,-71.3453,QuÇbec,cemetery,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDB,Notre-Dame-de-Belmont,Cemetery,Quebec,92328,46.7903,-71.2787,QuÇbec,cemetery,netting,2012,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMH,Mount Hermont,Cemetery,Quebec,92127,46.7788,-71.2469,QuÇbec,cemetery,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNDF,Notre-Dame-de-Foy,Cemetery,Quebec,7051,46.7778,-71.3031,QuÇbec,cemetery,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSA,Saint-Augustin,Cemetery,Quebec,9988,46.7433,-71.458,QuÇbec,cemetery,netting,2012,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSC,Saint-Charles,Cemetery,Quebec,117697,46.8087,-71.2725,QuÇbec,cemetery,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,Saint-Patrick,Cemetery,Quebec,52611,46.7845,-71.2408,QuÇbec,cemetery,netting,2012,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD,Duberger,Community garden,Quebec,1856,46.8115,-71.2918,QuÇbec,community garden,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLM,Le Marmottier,Community garden,Quebec,2845,46.7935,-71.2419,QuÇbec,community garden,netting,2012,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLR,Louis-Riel,Community garden,Quebec,3907,46.765,-71.3047,QuÇbec,community garden,netting,2012,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,1,11,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JM,Marchand,Community garden,Quebec,1510,46.8372,71.241248,QuÇbec,community garden,netting,2012,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,19,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JML,Mont-Lilas,Community garden,Quebec,8316,46.8612,-71.1966,QuÇbec,community garden,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPS,Parc des Sables,Community garden,Quebec,1545,46.8214,-71.2221,QuÇbec,community garden,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPSF,Pointe Sainte-Foy,Community garden,Quebec,9046,46.766,-71.3299,QuÇbec,community garden,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSD,Sapiniäre Dorion,Community garden,Quebec,2921,46.8445,-71.2403,QuÇbec,community garden,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,UniversitÇ Laval,Community garden,Quebec,7131,46.7778,-71.2829,QuÇbec,community garden,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVN,Versant Nord,Community garden,Quebec,3593,46.7803,-71.3206,QuÇbec,community garden,netting,2012,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBC,Bois-de-Coulonge,Nature park,Quebec,143779,46.7897,-71.2382,QuÇbec,park,netting,2012,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCB,Cartier-BrÇboeuf,Nature park,Quebec,28503,46.825,-71.2403,QuÇbec,park,netting,2012,,,,,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,4,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDC,Domaine Cataraqui,Nature park,Quebec,38076,46.775,-71.253,QuÇbec,park,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPASF,Base de Plein air Sainte-Foy,Nature park,Quebec,52313,46.7911,-71.3283,QuÇbec,park,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPJC,Plage Jacques-Cartier,Nature park,Quebec,22584,46.7506,-71.3138,QuÇbec,park,netting,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
